St;Max;St;Anz1
7659;209680;7659;177
7660;1276936;7660;177
7661;1276936;7661;177
7662;1276936;7662;177
7663;314656;7663;89
7664;9232;7664;58
7665;22996;7665;58
7666;14560;7666;58
7667;34504;7667;58
7668;9232;7668;58
7669;23008;7669;58
7670;32776;7670;133
7671;51784;7671;133
7672;41524;7672;133
7673;29140;7673;58
7674;41524;7674;133
7675;43720;7675;177
7676;65608;7676;133
7677;65608;7677;133
7678;897856;7678;115
7679;897856;7679;115
7680;7680;7680;27
7681;83104;7681;177
7682;11524;7682;40
7683;34576;7683;40
7684;9232;7684;146
7685;23056;7685;146
7686;17296;7686;146
7687;51892;7687;58
7688;7688;7688;53
7689;38932;7689;58
7690;11536;7690;53
7691;34612;7691;146
7692;8656;7692;53
7693;23080;7693;53
7694;25972;7694;146
7695;77920;7695;146
7696;7696;7696;53
7697;23092;7697;53
7698;24676;7698;133
7699;34648;7699;133
7700;7700;7700;53
7701;23104;7701;53
7702;17332;7702;146
7703;52000;7703;146
7704;7704;7704;53
7705;26008;7705;146
7706;11560;7706;53
7707;166696;7707;71
7708;13012;7708;53
7709;23128;7709;53
7710;39040;7710;53
7711;117124;7711;133
7712;7712;7712;27
7713;23140;7713;84
7714;11572;7714;53
7715;34720;7715;53
7716;10996;7716;58
7717;23152;7717;58
7718;17368;7718;58
7719;58624;7719;53
7720;7720;7720;27
7721;250504;7721;115
7722;11584;7722;27
7723;34756;7723;53
7724;9232;7724;146
7725;23176;7725;146
7726;26080;7726;146
7727;237976;7727;89
7728;7728;7728;27
7729;24784;7729;146
7730;24784;7730;146
7731;34792;7731;146
7732;7732;7732;27
7733;23200;7733;27
7734;223072;7734;84
7735;223072;7735;84
7736;9232;7736;146
7737;26116;7737;177
7738;11608;7738;146
7739;39184;7739;146
7740;19600;7740;146
7741;23224;7741;146
7742;58804;7742;115
7743;176416;7743;115
7744;9232;7744;102
7745;23236;7745;53
7746;11620;7746;53
7747;34864;7747;53
7748;7748;7748;53
7749;23248;7749;53
7750;17440;7750;53
7751;55888;7751;177
7752;7752;7752;53
7753;39256;7753;146
7754;11632;7754;53
7755;34900;7755;53
7756;8728;7756;53
7757;23272;7757;53
7758;29464;7758;146
7759;78568;7759;146
7760;9232;7760;102
7761;23284;7761;146
7762;44224;7762;146
7763;44224;7763;146
7764;9232;7764;102
7765;23296;7765;102
7766;17476;7766;53
7767;52432;7767;53
7768;7768;7768;40
7769;95956;7769;115
7770;11656;7770;40
7771;95956;7771;115
7772;13120;7772;40
7773;23320;7773;40
7774;39364;7774;53
7775;118096;7775;53
7776;9232;7776;102
7777;29536;7777;84
7778;11668;7778;40
7779;35008;7779;40
7780;7780;7780;40
7781;23344;7781;40
7782;17512;7782;40
7783;133000;7783;84
7784;9232;7784;102
7785;250504;7785;221
7786;11680;7786;102
7787;94768;7787;71
7788;22192;7788;84
7789;23368;7789;84
7790;26296;7790;84
7791;88756;7791;71
7792;9232;7792;146
7793;23380;7793;102
7794;13156;7794;146
7795;35080;7795;146
7796;9232;7796;146
7797;23392;7797;146
7798;19744;7798;146
7799;52648;7799;146
7800;9880;7800;146
7801;44440;7801;146
7802;11704;7802;146
7803;39508;7803;146
7804;33352;7804;177
7805;33352;7805;177
7806;88936;7806;177
7807;675376;7807;84
7808;7808;7808;27
7809;50056;7809;146
7810;11716;7810;102
7811;35152;7811;102
7812;7812;7812;40
7813;23440;7813;40
7814;17584;7814;40
7815;52756;7815;133
7816;9232;7816;102
7817;84544;7817;133
7818;11728;7818;102
7819;35188;7819;40
7820;9232;7820;102
7821;23464;7821;102
7822;33424;7822;84
7823;79216;7823;84
7824;7824;7824;53
7825;23476;7825;146
7826;19816;7826;146
7827;35224;7827;146
7828;7828;7828;53
7829;23488;7829;53
7830;17620;7830;102
7831;52864;7831;102
7832;7832;7832;53
7833;26440;7833;58
7834;11752;7834;53
7835;100420;7835;58
7836;80512;7836;84
7837;80512;7837;84
7838;80512;7838;84
7839;200932;7839;84
7840;7840;7840;27
7841;23524;7841;53
7842;11764;7842;53
7843;35296;7843;53
7844;190996;7844;177
7845;190996;7845;177
7846;190996;7846;177
7847;67048;7847;128
7848;7848;7848;27
7849;381976;7849;128
7850;11776;7850;27
7851;37744;7851;84
7852;9448;7852;84
7853;23560;7853;84
7854;26512;7854;84
7855;79540;7855;84
7856;9232;7856;146
7857;23572;7857;102
7858;13264;7858;102
7859;35368;7859;102
7860;9232;7860;146
7861;23584;7861;146
7862;85048;7862;84
7863;85048;7863;84
7864;9232;7864;146
7865;26548;7865;53
7866;11800;7866;146
7867;39832;7867;53
7868;19924;7868;102
7869;23608;7869;102
7870;59776;7870;102
7871;179332;7871;84
7872;7872;7872;53
7873;23620;7873;146
7874;345544;7874;128
7875;345544;7875;128
7876;7876;7876;27
7877;23632;7877;27
7878;17728;7878;27
7879;53188;7879;146
7880;7880;7880;27
7881;39904;7881;146
7882;11824;7882;27
7883;95956;7883;84
7884;8872;7884;27
7885;23656;7885;27
7886;575728;7886;177
7887;575728;7887;177
7888;7888;7888;53
7889;23668;7889;102
7890;29968;7890;102
7891;35512;7891;102
7892;7892;7892;53
7893;23680;7893;53
7894;250504;7894;190
7895;250504;7895;190
7896;7896;7896;40
7897;26656;7897;40
7898;11848;7898;40
7899;59992;7899;102
7900;13336;7900;40
7901;23704;7901;40
7902;45016;7902;76
7903;120040;7903;76
7904;7904;7904;53
7905;250504;7905;190
7906;11860;7906;53
7907;35584;7907;53
7908;9232;7908;146
7909;23728;7909;146
7910;17800;7910;146
7911;101392;7911;76
7912;7912;7912;53
7913;60100;7913;102
7914;11872;7914;53
7915;45088;7915;102
7916;10024;7916;146
7917;23752;7917;146
7918;26728;7918;146
7919;202984;7919;76
7920;14308;7920;102
7921;23764;7921;53
7922;33856;7922;53
7923;35656;7923;53
7924;14308;7924;102
7925;23776;7925;102
7926;20068;7926;53
7927;53512;7927;53
7928;15064;7928;102
7929;30112;7929;146
7930;15064;7930;102
7931;67768;7931;76
7932;50848;7932;53
7933;50848;7933;53
7934;135592;7934;53
7935;2316760;7935;128
7936;9232;7936;115
7937;23812;7937;53
7938;11908;7938;146
7939;35728;7939;146
7940;7940;7940;53
7941;23824;7941;53
7942;17872;7942;53
7943;53620;7943;146
7944;8080;7944;97
7945;50920;7945;128
7946;11920;7946;97
7947;35764;7947;53
7948;8944;7948;97
7949;23848;7949;97
7950;26836;7950;53
7951;80512;7951;53
7952;7952;7952;27
7953;23860;7953;97
7954;22660;7954;146
7955;35800;7955;146
7956;7956;7956;27
7957;23872;7957;27
7958;17908;7958;97
7959;53728;7959;97
7960;7960;7960;27
7961;51028;7961;146
7962;11944;7962;27
7963;497176;7963;252
7964;13444;7964;53
7965;23896;7965;53
7966;40336;7966;53
7967;121012;7967;97
7968;7968;7968;53
7969;23908;7969;53
7970;11956;7970;53
7971;35872;7971;53
7972;10096;7972;53
7973;23920;7973;53
7974;17944;7974;53
7975;60568;7975;146
7976;7976;7976;53
7977;90880;7977;53
7978;11968;7978;53
7979;35908;7979;53
7980;8980;7980;53
7981;23944;7981;53
7982;26944;7982;53
7983;80836;7983;53
7984;7984;7984;53
7985;23956;7985;53
7986;13480;7986;53
7987;35944;7987;53
7988;7988;7988;53
7989;23968;7989;53
7990;45520;7990;84
7991;53944;7991;84
7992;11392;7992;53
7993;26980;7993;84
7994;11992;7994;53
7995;40480;7995;53
7996;20248;7996;53
7997;23992;7997;53
7998;129760;7998;190
7999;182248;7999;190
8000;9232;8000;115
8001;24004;8001;53
8002;12004;8002;45
8003;36016;8003;45
8004;8004;8004;53
8005;24016;8005;53
8006;18016;8006;53
8007;68416;8007;45
8008;21688;8008;146
8009;40552;8009;45
8010;21688;8010;146
8011;36052;8011;53
8012;21688;8012;146
8013;24040;8013;146
8014;30436;8014;45
8015;81160;8015;45
8016;9232;8016;115
8017;24052;8017;146
8018;250504;8018;159
8019;250504;8019;159
8020;9232;8020;115
8021;24064;8021;115
8022;32560;8022;190
8023;54160;8023;190
8024;8584;8024;45
8025;27088;8025;45
8026;12040;8026;45
8027;146500;8027;190
8028;13552;8028;45
8029;24088;8029;45
8030;40660;8030;45
8031;121984;8031;45
8032;9232;8032;71
8033;34324;8033;97
8034;12052;8034;27
8035;36160;8035;27
8036;8036;8036;27
8037;24112;8037;27
8038;18088;8038;27
8039;695464;8039;190
8040;9232;8040;71
8041;61072;8041;97
8042;12064;8042;71
8043;36196;8043;53
8044;15280;8044;45
8045;24136;8045;45
8046;27160;8046;45
8047;91672;8047;45
8048;9232;8048;71
8049;24148;8049;71
8050;13588;8050;71
8051;36232;8051;71
8052;9232;8052;71
8053;24160;8053;71
8054;20392;8054;71
8055;54376;8055;71
8056;39364;8056;97
8057;176740;8057;128
8058;39364;8058;97
8059;40804;8059;53
8060;39364;8060;97
8061;39364;8061;97
8062;103336;8062;97
8063;275560;8063;97
8064;9232;8064;115
8065;24196;8065;71
8066;12100;8066;71
8067;36304;8067;71
8068;14560;8068;71
8069;24208;8069;71
8070;18160;8070;71
8071;54484;8071;71
8072;9232;8072;115
8073;118096;8073;97
8074;12112;8074;115
8075;36340;8075;71
8076;9232;8076;115
8077;24232;8077;115
8078;32776;8078;146
8079;81808;8079;146
8080;8080;8080;66
8081;65608;8081;146
8082;65608;8082;146
8083;65608;8083;146
8084;8084;8084;66
8085;24256;8085;66
8086;18196;8086;27
8087;54592;8087;27
8088;8088;8088;66
8089;27304;8089;27
8090;12136;8090;66
8091;92176;8091;190
8092;23056;8092;159
8093;24280;8093;159
8094;40984;8094;159
8095;599056;8095;115
8096;9232;8096;115
8097;24292;8097;66
8098;12148;8098;66
8099;36448;8099;66
8100;25972;8100;159
8101;25972;8101;159
8102;25972;8102;159
8103;61540;8103;190
8104;9232;8104;115
8105;155824;8105;71
8106;12160;8106;115
8107;36484;8107;66
8108;17332;8108;159
8109;24328;8109;159
8110;27376;8110;159
8111;82132;8111;66
8112;8112;8112;40
8113;24340;8113;115
8114;13696;8114;115
8115;36520;8115;115
8116;8116;8116;40
8117;24352;8117;40
8118;30832;8118;66
8119;54808;8119;66
8120;8120;8120;40
8121;27412;8121;40
8122;12184;8122;40
8123;41128;8123;40
8124;34720;8124;66
8125;34720;8125;66
8126;61720;8126;66
8127;400948;8127;190
8128;8128;8128;53
8129;24388;8129;40
8130;250504;8130;128
8131;250504;8131;128
8132;9232;8132;115
8133;24400;8133;115
8134;18304;8134;115
8135;54916;8135;66
8136;9232;8136;159
8137;41200;8137;159
8138;12208;8138;159
8139;36628;8139;115
8140;9232;8140;159
8141;24424;8141;159
8142;46384;8142;159
8143;82456;8143;159
8144;8144;8144;53
8145;24436;8145;159
8146;223072;8146;97
8147;223072;8147;97
8148;8148;8148;53
8149;24448;8149;53
8150;39184;8150;159
8151;55024;8151;159
8152;8152;8152;66
8153;27520;8153;115
8154;12232;8154;66
8155;61936;8155;128
8156;13768;8156;66
8157;24472;8157;66
8158;69712;8158;66
8159;123928;8159;66
8160;13120;8160;53
8161;8153620;8161;177
8162;12244;8162;53
8163;36736;8163;53
8164;8728;8164;66
8165;24496;8165;66
8166;18376;8166;66
8167;93040;8167;159
8168;13120;8168;53
8169;104704;8169;66
8170;13120;8170;53
8171;176740;8171;97
8172;44224;8172;159
8173;44224;8173;159
8174;44224;8174;159
8175;149200;8175;146
8176;39364;8176;66
8177;24532;8177;53
8178;17476;8178;66
8179;36808;8179;66
8180;39364;8180;66
8181;39364;8181;66
8182;95956;8182;128
8183;95956;8183;128
8184;118096;8184;66
8185;95956;8185;128
8186;118096;8186;66
8187;95956;8187;128
8188;1276936;8188;159
8189;1276936;8189;159
8190;1276936;8190;159
8191;6810136;8191;159
8192;8192;8192;14
8193;24580;8193;53
8194;12292;8194;115
8195;36880;8195;115
8196;9232;8196;159
8197;24592;8197;159
8198;18448;8198;159
8199;55348;8199;115
8200;8200;8200;40
8201;41524;8201;115
8202;12304;8202;40
8203;36916;8203;159
8204;9232;8204;40
8205;24616;8205;40
8206;27700;8206;159
8207;83104;8207;159
8208;8208;8208;40
8209;24628;8209;40
8210;20788;8210;159
8211;36952;8211;159
8212;8212;8212;40
8213;24640;8213;40
8214;18484;8214;40
8215;55456;8215;40
8216;8216;8216;40
8217;27736;8217;159
8218;12328;8218;40
8219;399976;8219;190
8220;13876;8220;40
8221;24664;8221;40
8222;41632;8222;40
8223;150064;8223;190
8224;9232;8224;128
8225;24676;8225;115
8226;12340;8226;40
8227;37024;8227;40
8228;10420;8228;115
8229;24688;8229;115
8230;18520;8230;115
8231;62512;8231;53
8232;9232;8232;128
8233;93796;8233;146
8234;12352;8234;128
8235;37060;8235;115
8236;9268;8236;40
8237;24712;8237;40
8238;27808;8238;40
8239;400948;8239;159
8240;9232;8240;128
8241;24724;8241;66
8242;13912;8242;66
8243;37096;8243;66
8244;9232;8244;128
8245;24736;8245;128
8246;70468;8246;97
8247;70468;8247;97
8248;8248;8248;40
8249;27844;8249;66
8250;12376;8250;40
8251;41776;8251;66
8252;20896;8252;40
8253;24760;8253;40
8254;225988;8254;172
8255;225988;8255;172
8256;9232;8256;128
8257;190996;8257;190
8258;190996;8258;190
8259;190996;8259;190
8260;9232;8260;128
8261;24784;8261;128
8262;18592;8262;128
8263;79432;8263;159
8264;9232;8264;159
8265;67048;8265;141
8266;12400;8266;159
8267;37204;8267;128
8268;9304;8268;159
8269;24808;8269;159
8270;31408;8270;97
8271;83752;8271;97
8272;9232;8272;128
8273;24820;8273;159
8274;59668;8274;97
8275;59668;8275;97
8276;9232;8276;128
8277;24832;8277;128
8278;18628;8278;159
8279;55888;8279;159
8280;9232;8280;128
8281;27952;8281;159
8282;12424;8282;128
8283;179152;8283;97
8284;13984;8284;128
8285;24856;8285;128
8286;41956;8286;66
8287;125872;8287;66
8288;9232;8288;128
8289;59776;8289;115
8290;12436;8290;40
8291;37312;8291;40
8292;8292;8292;40
8293;24880;8293;40
8294;18664;8294;40
8295;255472;8295;97
8296;9232;8296;128
8297;63016;8297;40
8298;12448;8298;128
8299;53188;8299;159
8300;95956;8300;97
8301;95956;8301;97
8302;95956;8302;97
8303;359152;8303;128
8304;8304;8304;66
8305;24916;8305;128
8306;14020;8306;66
8307;37384;8307;66
8308;8308;8308;66
8309;24928;8309;66
8310;21040;8310;66
8311;56104;8311;66
8312;10528;8312;66
8313;269728;8313;190
8314;12472;8314;66
8315;250504;8315;203
8316;31588;8316;53
8317;31588;8317;53
8318;94768;8318;53
8319;284308;8319;89
8320;8320;8320;35
8321;24964;8321;53
8322;12484;8322;66
8323;37456;8323;66
8324;8324;8324;66
8325;24976;8325;66
8326;18736;8326;66
8327;56212;8327;66
8328;9232;8328;128
8329;144340;8329;190
8330;12496;8330;128
8331;37492;8331;159
8332;9376;8332;128
8333;25000;8333;128
8334;60100;8334;115
8335;84400;8335;115
8336;9232;8336;128
8337;26728;8337;159
8338;26728;8338;159
8339;37528;8339;159
8340;9232;8340;128
8341;25024;8341;128
8342;18772;8342;128
8343;56320;8343;128
8344;9232;8344;128
8345;28168;8345;115
8346;12520;8346;128
8347;95092;8347;66
8348;15856;8348;115
8349;25048;8349;115
8350;42280;8350;115
8351;481624;8351;234
8352;8352;8352;35
8353;67768;8353;89
8354;12532;8354;128
8355;37600;8355;128
8356;23812;8356;66
8357;25072;8357;66
8358;23812;8358;66
8359;2316760;8359;141
8360;8360;8360;35
8361;214324;8361;115
8362;12544;8362;35
8363;37636;8363;66
8364;9412;8364;40
8365;25096;8365;40
8366;28240;8366;40
8367;84724;8367;159
8368;9232;8368;128
8369;25108;8369;40
8370;14128;8370;40
8371;37672;8371;40
8372;9232;8372;128
8373;25120;8373;128
8374;80512;8374;66
8375;80512;8375;66
8376;9232;8376;128
8377;28276;8377;159
8378;12568;8378;128
8379;42424;8379;159
8380;21220;8380;110
8381;25144;8381;110
8382;63664;8382;110
8383;190996;8383;159
8384;8384;8384;35
8385;25156;8385;66
8386;15928;8386;66
8387;37744;8387;66
8388;8388;8388;66
8389;25168;8389;66
8390;18880;8390;66
8391;56644;8391;66
8392;8392;8392;66
8393;42496;8393;128
8394;12592;8394;66
8395;37780;8395;66
8396;9448;8396;66
8397;25192;8397;66
8398;71764;8398;66
8399;85048;8399;66
8400;8400;8400;35
8401;25204;8401;66
8402;31912;8402;66
8403;37816;8403;66
8404;8404;8404;35
8405;25216;8405;35
8406;26944;8406;66
8407;56752;8407;66
8408;45520;8408;97
8409;28384;8409;66
8410;45520;8410;97
8411;63880;8411;66
8412;45520;8412;97
8413;45520;8413;97
8414;345544;8414;110
8415;345544;8415;110
8416;9232;8416;84
8417;182068;8417;159
8418;12628;8418;35
8419;37888;8419;35
8420;9232;8420;128
8421;25264;8421;128
8422;18952;8422;128
8423;95956;8423;66
8424;9232;8424;84
8425;129760;8425;203
8426;12640;8426;84
8427;102544;8427;159
8428;21688;8428;159
8429;25288;8429;159
8430;28456;8430;159
8431;324160;8431;97
8432;9232;8432;84
8433;25300;8433;84
8434;40552;8434;58
8435;40552;8435;58
8436;9232;8436;84
8437;25312;8437;84
8438;21688;8438;159
8439;56968;8439;159
8440;250504;8440;172
8441;32056;8441;58
8442;250504;8442;172
8443;410884;8443;110
8444;250504;8444;172
8445;250504;8445;172
8446;144340;8446;159
8447;433024;8447;159
8448;8448;8448;35
8449;25348;8449;58
8450;12676;8450;58
8451;38032;8451;58
8452;9232;8452;84
8453;25360;8453;84
8454;19024;8454;84
8455;146500;8455;203
8456;9232;8456;84
8457;42820;8457;58
8458;12688;8458;84
8459;38068;8459;84
8460;9520;8460;84
8461;25384;8461;84
8462;28564;8462;40
8463;85696;8463;40
8464;8464;8464;35
8465;25396;8465;84
8466;695464;8466;203
8467;695464;8467;203
8468;8468;8468;35
8469;25408;8469;35
8470;19060;8470;58
8471;57184;8471;58
8472;8472;8472;35
8473;28600;8473;58
8474;12712;8474;35
8475;217240;8475;110
8476;14308;8476;84
8477;25432;8477;84
8478;42928;8478;84
8479;128788;8479;84
8480;9232;8480;128
8481;39364;8481;110
8482;39364;8482;110
8483;39364;8483;110
8484;39364;8484;110
8485;39364;8485;110
8486;39364;8486;110
8487;176740;8487;141
8488;9232;8488;128
8489;96712;8489;66
8490;12736;8490;128
8491;103336;8491;110
8492;9556;8492;35
8493;25480;8493;35
8494;28672;8494;35
8495;86020;8495;84
8496;9232;8496;128
8497;25492;8497;128
8498;14344;8498;128
8499;38248;8499;128
8500;9232;8500;128
8501;25504;8501;128
8502;48436;8502;84
8503;57400;8503;84
8504;8504;8504;79
8505;36340;8505;84
8506;12760;8506;79
8507;43072;8507;79
8508;21544;8508;79
8509;25528;8509;79
8510;6810136;8510;203
8511;6810136;8511;203
8512;8512;8512;35
8513;25540;8513;128
8514;18196;8514;40
8515;38320;8515;40
8516;9232;8516;128
8517;25552;8517;128
8518;19168;8518;128
8519;163780;8519;159
8520;12148;8520;79
8521;43144;8521;79
8522;12784;8522;79
8523;38356;8523;128
8524;12148;8524;79
8525;25576;8525;79
8526;599056;8526;128
8527;599056;8527;128
8528;8528;8528;35
8529;36448;8529;79
8530;138400;8530;172
8531;138400;8531;172
8532;8532;8532;35
8533;25600;8533;35
8534;19204;8534;128
8535;57616;8535;128
8536;8536;8536;66
8537;28816;8537;172
8538;12808;8538;66
8539;64852;8539;128
8540;14416;8540;66
8541;25624;8541;66
8542;43252;8542;172
8543;129760;8543;172
8544;8544;8544;27
8545;32452;8545;128
8546;12820;8546;66
8547;38464;8547;66
8548;8548;8548;66
8549;25648;8549;66
8550;19240;8550;66
8551;219184;8551;79
8552;8552;8552;27
8553;64960;8553;53
8554;12832;8554;27
8555;38500;8555;53
8556;61720;8556;79
8557;61720;8557;79
8558;61720;8558;79
8559;97504;8559;79
8560;8560;8560;27
8561;25684;8561;27
8562;14452;8562;128
8563;38536;8563;128
8564;8564;8564;27
8565;25696;8565;27
8566;21688;8566;128
8567;57832;8567;128
8568;10852;8568;172
8569;164752;8569;79
8570;12856;8570;172
8571;43396;8571;172
8572;32560;8572;172
8573;32560;8573;172
8574;97684;8574;128
8575;293056;8575;128
8576;8576;8576;35
8577;25732;8577;66
8578;12868;8578;79
8579;38608;8579;79
8580;8580;8580;79
8581;25744;8581;79
8582;19312;8582;79
8583;57940;8583;79
8584;8584;8584;27
8585;48904;8585;172
8586;12880;8586;27
8587;38644;8587;128
8588;9664;8588;27
8589;25768;8589;27
8590;28996;8590;79
8591;86992;8591;79
8592;8592;8592;27
8593;25780;8593;27
8594;21760;8594;27
8595;38680;8595;27
8596;8596;8596;27
8597;25792;8597;27
8598;19348;8598;66
8599;58048;8599;66
8600;8600;8600;27
8601;29032;8601;66
8602;12904;8602;27
8603;98008;8603;172
8604;176740;8604;110
8605;176740;8605;110
8606;176740;8606;110
8607;147076;8607;172
8608;8608;8608;35
8609;44224;8609;172
8610;39364;8610;79
8611;39364;8611;79
8612;39364;8612;79
8613;39364;8613;79
8614;39364;8614;79
8615;65428;8615;79
8616;8616;8616;35
8617;209680;8617;172
8618;12928;8618;35
8619;95956;8619;141
8620;1276936;8620;172
8621;1276936;8621;172
8622;1276936;8622;172
8623;118096;8623;79
8624;9232;8624;53
8625;25876;8625;53
8626;14560;8626;53
8627;38824;8627;53
8628;9232;8628;53
8629;25888;8629;53
8630;32776;8630;128
8631;58264;8631;128
8632;9232;8632;53
8633;29140;8633;53
8634;12952;8634;53
8635;43720;8635;172
8636;41524;8636;128
8637;41524;8637;128
8638;65608;8638;128
8639;897856;8639;110
8640;8640;8640;48
8641;27700;8641;172
8642;83104;8642;172
8643;83104;8643;172
8644;8644;8644;35
8645;25936;8645;35
8646;19456;8646;35
8647;58372;8647;53
8648;9232;8648;141
8649;43792;8649;53
8650;12976;8650;141
8651;38932;8651;53
8652;9736;8652;141
8653;25960;8653;141
8654;49300;8654;172
8655;87640;8655;172
8656;8656;8656;48
8657;25972;8657;141
8658;32884;8658;53
8659;38968;8659;53
8660;8660;8660;48
8661;25984;8661;48
8662;24676;8662;128
8663;58480;8663;128
8664;9232;8664;141
8665;29248;8665;141
8666;13000;8666;141
8667;65824;8667;128
8668;14632;8668;141
8669;26008;8669;141
8670;166696;8670;66
8671;166696;8671;66
8672;8672;8672;48
8673;49408;8673;141
8674;13012;8674;48
8675;39040;8675;48
8676;13912;8676;79
8677;26032;8677;79
8678;19528;8678;79
8679;400948;8679;172
8680;8680;8680;48
8681;74176;8681;79
8682;13024;8682;48
8683;281716;8683;110
8684;10996;8684;53
8685;26056;8685;53
8686;29320;8686;53
8687;250504;8687;110
8688;9232;8688;141
8689;26068;8689;48
8690;20896;8690;53
8691;39112;8691;53
8692;9232;8692;141
8693;26080;8693;141
8694;225988;8694;185
8695;225988;8695;185
8696;24784;8696;141
8697;190996;8697;203
8698;24784;8698;141
8699;190996;8699;203
8700;74356;8700;79
8701;74356;8701;79
8702;223072;8702;79
8703;952864;8703;110
8704;8704;8704;22
8705;26116;8705;172
8706;13060;8706;141
8707;39184;8707;141
8708;9232;8708;141
8709;26128;8709;141
8710;19600;8710;141
8711;58804;8711;110
8712;8712;8712;48
8713;44116;8713;141
8714;13072;8714;48
8715;39220;8715;141
8716;9808;8716;48
8717;26152;8717;48
8718;29428;8718;172
8719;88288;8719;172
8720;8720;8720;48
8721;26164;8721;48
8722;22084;8722;141
8723;39256;8723;141
8724;8724;8724;48
8725;26176;8725;48
8726;19636;8726;141
8727;58912;8727;141
8728;8728;8728;48
8729;29464;8729;141
8730;13096;8730;48
8731;149200;8731;128
8732;14740;8732;141
8733;26200;8733;141
8734;44224;8734;141
8735;132676;8735;141
8736;8736;8736;35
8737;26212;8737;141
8738;13108;8738;48
8739;39328;8739;48
8740;95956;8740;110
8741;95956;8741;110
8742;95956;8742;110
8743;95956;8743;110
8744;8744;8744;35
8745;112084;8745;53
8746;13120;8746;35
8747;39364;8747;48
8748;10528;8748;79
8749;26248;8749;79
8750;29536;8750;79
8751;189268;8751;53
8752;8752;8752;35
8753;26260;8753;79
8754;14776;8754;79
8755;39400;8755;79
8756;8756;8756;35
8757;26272;8757;35
8758;250504;8758;216
8759;250504;8759;216
8760;8760;8760;79
8761;94768;8761;66
8762;13144;8762;79
8763;44368;8763;48
8764;22192;8764;79
8765;26296;8765;79
8766;66580;8766;79
8767;199744;8767;79
8768;9232;8768;97
8769;26308;8769;141
8770;13156;8770;141
8771;39472;8771;141
8772;9232;8772;141
8773;26320;8773;141
8774;19744;8774;141
8775;59236;8775;141
8776;9232;8776;141
8777;44440;8777;141
8778;13168;8778;141
8779;39508;8779;141
8780;9880;8780;141
8781;26344;8781;141
8782;33352;8782;172
8783;88936;8783;172
8784;9232;8784;97
8785;26356;8785;141
8786;50056;8786;141
8787;50056;8787;141
8788;9232;8788;97
8789;26368;8789;97
8790;19780;8790;128
8791;59344;8791;128
8792;8792;8792;35
8793;42280;8793;128
8794;13192;8794;35
8795;84544;8795;128
8796;14848;8796;35
8797;26392;8797;35
8798;67768;8798;102
8799;133648;8799;102
8800;9232;8800;97
8801;33424;8801;79
8802;13204;8802;141
8803;39616;8803;141
8804;9232;8804;141
8805;26416;8805;141
8806;19816;8806;141
8807;150496;8807;79
8808;9232;8808;97
8809;66904;8809;79
8810;13216;8810;97
8811;39652;8811;53
8812;25108;8812;53
8813;26440;8813;53
8814;29752;8814;53
8815;100420;8815;53
8816;8816;8816;48
8817;26452;8817;97
8818;80512;8818;79
8819;80512;8819;79
8820;8820;8820;48
8821;26464;8821;48
8822;22336;8822;48
8823;59560;8823;48
8824;11176;8824;48
8825;50272;8825;141
8826;13240;8826;48
8827;44692;8827;123
8828;190996;8828;172
8829;190996;8829;172
8830;190996;8830;172
8831;381976;8831;123
8832;8832;8832;22
8833;37744;8833;79
8834;13252;8834;97
8835;39760;8835;97
8836;9448;8836;79
8837;26512;8837;79
8838;19888;8838;79
8839;59668;8839;79
8840;9232;8840;97
8841;75544;8841;141
8842;13264;8842;97
8843;39796;8843;79
8844;9952;8844;97
8845;26536;8845;97
8846;85048;8846;79
8847;89584;8847;79
8848;9232;8848;141
8849;26548;8849;48
8850;22408;8850;48
8851;39832;8851;48
8852;9232;8852;141
8853;26560;8853;141
8854;19924;8854;97
8855;59776;8855;97
8856;9232;8856;141
8857;45520;8857;110
8858;13288;8858;141
8859;255472;8859;79
8860;345544;8860;123
8861;345544;8861;123
8862;345544;8862;123
8863;227176;8863;79
8864;8864;8864;22
8865;182068;8865;172
8866;18952;8866;141
8867;39904;8867;141
8868;95956;8868;79
8869;95956;8869;79
8870;95956;8870;79
8871;75796;8871;79
8872;8872;8872;22
8873;575728;8873;172
8874;13312;8874;22
8875;39940;8875;97
8876;9988;8876;97
8877;26632;8877;97
8878;29968;8878;97
8879;89908;8879;172
8880;8880;8880;35
8881;250504;8881;185
8882;250504;8882;185
8883;250504;8883;185
8884;8884;8884;35
8885;26656;8885;35
8886;33748;8886;97
8887;59992;8887;97
8888;8888;8888;35
8889;250504;8889;185
8890;13336;8890;35
8891;45016;8891;71
8892;250504;8892;185
8893;250504;8893;185
8894;250504;8894;185
8895;486952;8895;71
8896;8896;8896;48
8897;26692;8897;35
8898;16900;8898;71
8899;40048;8899;71
8900;9232;8900;141
8901;26704;8901;141
8902;20032;8902;141
8903;60100;8903;97
8904;9232;8904;141
8905;45088;8905;97
8906;13360;8906;141
8907;40084;8907;97
8908;10024;8908;141
8909;26728;8909;141
8910;114208;8910;97
8911;114208;8911;97
8912;8912;8912;48
8913;26740;8913;48
8914;33856;8914;48
8915;40120;8915;48
8916;8916;8916;48
8917;26752;8917;48
8918;20068;8918;48
8919;60208;8919;48
8920;14308;8920;97
8921;30112;8921;141
8922;14308;8922;97
8923;67768;8923;71
8924;15064;8924;97
8925;26776;8925;97
8926;50848;8926;48
8927;135592;8927;48
8928;8928;8928;48
